fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,6.7117705,8.267581585532586,0.5361758973308054,0.5203091290851748
0,1,4.124793,5.263483987544162,0.5352167407690633,0.5206516253762334
0,10,4.092143,5.263145700741746,0.536686264277121,0.5236066888137353
1,0.1,6.3574224,7.926452397732884,0.5372867410381784,0.5212538441162625
1,1,4.1311603,5.263734381876078,0.5347627833131998,0.5200043366990396
1,10,4.095714,5.2639289637471345,0.5351675663518983,0.5218170300602478
2,0.1,6.890755,8.436256599644125,0.5370107020885672,0.5206729246591554
2,1,4.1097126,5.260904703697987,0.5378947132248537,0.524004891835639
2,10,4.0866375,5.275088355603518,0.5343490353478352,0.5210999224926856
3,0.1,6.95205,8.494971190207824,0.536374666534602,0.521964928246514
3,1,4.112108,5.262840009927413,0.5368553742305604,0.5240055046531061
3,10,4.093725,5.269089099836575,0.535790733208357,0.5233024427810996
4,0.1,6.647541,8.208017514215712,0.5368004182320395,0.5212727795799607
4,1,4.124263,5.251819840141204,0.5370869429754728,0.5231447930174711
4,10,4.1014137,5.2659270881910745,0.534382356499054,0.5211091132709016
