fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,5.6594467,7.016146973900632,0.6376591162709858,0.6317794687444406
0,1,3.6267416,4.7744710898938765,0.6382864095439054,0.6361819223888674
0,10,3.6039004,4.772089341701459,0.6388943061801666,0.636545178096597
1,0.1,5.8032584,7.144150546000958,0.6415308329249547,0.6376941304557936
1,1,3.6464186,4.782790590302745,0.6353507840090951,0.6324304557139634
1,10,3.6066625,4.773925156977112,0.6380297656856625,0.6388792123077718
2,0.1,6.1172433,7.468782177460758,0.637579711494359,0.6318700502635883
2,1,3.6092207,4.766002202349245,0.6404878929144724,0.6426932935578344
2,10,3.6028528,4.79060495749385,0.6357080007000359,0.6355199109514998
3,0.1,5.8453345,7.196530449222862,0.6390239676622677,0.6359144131384639
3,1,3.5923922,4.742403682199199,0.643183165215604,0.6431778274261118
3,10,3.5841777,4.7559261497493965,0.641796660257602,0.6430604511491621
4,0.1,5.8083186,7.164097377147246,0.6370594887213811,0.6310366254176667
4,1,3.6479712,4.771770779433979,0.6371075251590992,0.6337730775824391
4,10,3.6026182,4.773277866922125,0.6389577544434836,0.6387292376367989
