Loss,bike,protein,sine
ConR,799.8461120128632,2035.6091339588163,97.79118180274963
GAR,457.4513080120087,1169.4754872322085,58.87619876861572
GAR-EXP,,1162.6055099964142,59.132901430130005
Huber,344.9974191188812,928.9109251499176,45.47779083251953
MAE,351.641144990921,958.4092602729796,51.91366338729858
focal-MAE,381.7406840324402,988.1272158622742,51.81457853317261
