fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,3.2376924,3.58948894486596,0.11741466734439807,0.08483509271932949
0,1,3.2389116,3.5941278673626966,0.1159196269165979,0.07933605835036468
0,10,3.2378082,3.5902492555673695,0.12239324617690739,0.08846642791517446
1,0.1,3.2491448,3.599594935834781,0.0973293642413521,0.07213226332664578
1,1,3.252446,3.60610338041923,0.08911498576613483,0.0681754260964131
1,10,3.2576113,3.6073133517362677,0.11304370617955839,0.07957924737029605
2,0.1,3.267918,3.636355143233698,0.09595865421412214,0.07133932087075544
2,1,3.2535996,3.614486575778354,0.09594501084994592,0.06932912080700504
2,10,3.2416613,3.569520958568142,0.3531785440974224,0.25913993212457576
3,0.1,3.283241,3.659730607629797,0.08656909502128697,0.06371721073256707
3,1,3.237681,3.5927441059977596,0.10323965616045408,0.07736410852567828
3,10,3.2441351,3.592794407386479,0.0977868772393815,0.046116850730317065
4,0.1,3.2485635,3.605171431064448,0.09752269885984932,0.07976374852342827
4,1,3.2345753,3.5936930776317366,0.11323143742820824,0.09470309189432433
4,10,3.2406192,3.599491343061124,0.11008321234155026,0.08796992481203007
