fold,parameter,epoch,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,0,189.6261,263.43423040675634,0.3960530961920476,0.41673508840367013
0,0.1,1,189.62627,263.43187271569855,0.4290664996943884,0.45693542958851224
0,0.1,2,189.62639,263.4294408613054,0.45202309387737805,0.48589543790704637
0,0.1,3,189.62654,263.4269200129326,0.4690750075632895,0.5077988841440293
0,0.1,4,189.6267,263.4243249967626,0.4817975048266118,0.5244797623446787
0,0.1,5,189.62685,263.4216409817158,0.4914044764995895,0.5375511695237346
0,0.1,6,189.62704,263.41877899079253,0.49925155909723296,0.5485390736727397
0,0.1,7,189.6272,263.41581316428216,0.5052631859592709,0.5569018806256486
0,0.1,8,189.62738,263.41265452232926,0.5103746106286154,0.5639284279228959
0,0.1,9,189.62755,263.40930305799753,0.5145852362833356,0.5698764984006054
0,0.1,10,189.62773,263.405729104361,0.5181594853689319,0.5747368988112397
0,0.1,11,189.62794,263.40191782236514,0.5212644631638433,0.5791428903851917
0,0.1,12,189.62816,263.3978098807961,0.5238797156645212,0.5828544038393095
0,0.1,13,189.62836,263.3933904352955,0.526227813890274,0.5861121982184077
0,0.1,14,189.6286,263.3886149779447,0.5283128124339065,0.5890832161789432
0,0.1,15,189.6288,263.38335001001866,0.5302466887723372,0.5916017953859929
0,0.1,16,189.62903,263.3776696589899,0.5319584169320949,0.5939039359909254
0,0.1,17,189.62921,263.371321758843,0.5335449992193563,0.5960019566165741
0,0.1,18,189.62943,263.36455840716303,0.5351770019967786,0.5980436616911452
0,0.1,19,189.6296,263.3569197638444,0.5365437878758186,0.5997787812046309
0,0.1,20,189.62975,263.348494750777,0.537922202388011,0.6015659576769748
0,0.1,21,189.62991,263.3391646242541,0.539268833609124,0.6032309430995004
0,0.1,22,189.63005,263.3287809469371,0.5405559291390584,0.6048255026265623
0,0.1,23,189.63014,263.3171359074453,0.5418100287384991,0.6062601951607328
0,0.1,24,189.63016,263.30388812169105,0.543016576405941,0.6077003410158124
0,0.1,25,189.63014,263.2890966931597,0.5442758224120786,0.6090780208027896
0,0.1,26,189.63002,263.2720491715746,0.5454745130630848,0.6104733464762666
0,0.1,27,189.6299,263.25302704812344,0.5467401299820561,0.6117914608255013
0,0.1,28,189.6297,263.2313175944306,0.5480450085919443,0.6132473192330827
0,0.1,29,189.62929,263.2062077772863,0.5492763575609423,0.6144192687669321
0,0.1,30,189.62871,263.17705838940446,0.5506159573080092,0.6157963045755291
0,0.1,31,189.62804,263.1433188397532,0.5520252392615266,0.6172127767636821
0,0.1,32,189.62694,263.10368084654385,0.5534291526377024,0.6186017612918331
0,0.1,33,189.62564,263.05765171345996,0.5549440247040663,0.6200809544631424
0,0.1,34,189.6239,263.00307448298014,0.5565050775108225,0.6214875008894548
0,0.1,35,189.62167,262.9370468857517,0.5582365867662559,0.6230961231754956
0,0.1,36,189.61874,262.8588618441463,0.5600206808296478,0.624684095078317
0,0.1,37,189.61475,262.7637811561936,0.5617924256656934,0.6262846542735749
0,0.1,38,189.60968,262.6481873390715,0.5637497201789503,0.6279805948955076
0,0.1,39,189.60245,262.5054166107816,0.5657955287843511,0.6297958261530522
0,0.1,40,189.59346,262.32911104183614,0.5680147349108847,0.6318596281780425
