fold,parameter,epoch,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,0,3.2378857,3.5603971465535307,0.14514214304328432,0.15771998574991092
0,0.1,1,3.2209516,3.5507369337684183,0.12994729569236732,0.13527778298614365
0,0.1,2,3.2234333,3.5559751756400195,0.12270446246449168,0.13527778298614365
0,0.1,3,3.2321308,3.561830022621291,0.1161443566503829,0.15434346464665402
0,0.1,4,3.2533064,3.5771665663784407,0.08059010846963231,0.05952205951287195
0,0.1,5,3.255162,3.579616185930304,0.07305042050236449,0.019408621303883145
0,0.1,6,3.240421,3.571402151827504,0.10550544600524477,0.09613053831586446
0,0.1,7,3.230783,3.5644624892856447,0.11711729936791067,0.11060750379689872
0,0.1,8,3.238371,3.5686880877948344,0.10763621462943264,0.08914086963043519
0,0.1,9,3.241684,3.5704845161652474,0.09998406161741925,0.08461365383533646
0,0.1,10,3.230896,3.564162017222248,0.11651210240409476,0.09079612997581234
0,0.1,11,3.2290761,3.563589498330281,0.11805999216435367,0.09013087581797387
0,0.1,12,3.2300544,3.563985414520114,0.11601937332120993,0.0883143644647779
0,0.1,13,3.2357113,3.5695731902168557,0.10586698485727668,0.08914743217145106
0,0.1,14,3.2327409,3.5695967008885794,0.11085918190309206,0.07988881180507378
0,0.1,15,3.2308462,3.5694171609260494,0.11272440804760149,0.08087131794573714
0,0.1,16,3.2314994,3.56899726398563,0.11082464226341797,0.0875697973112332
0,0.1,17,3.2275486,3.5631756058254016,0.11423166679487844,0.08104213151332196
0,0.1,18,3.2242565,3.56134108046995,0.11835401078777844,0.08634878967993548
0,0.1,19,3.224626,3.565477164544554,0.11821151218382672,0.09612472577953611
0,0.1,20,3.2292438,3.5707309068718063,0.1128965456180992,0.08856599103744398
0,0.1,21,3.2401288,3.5789843197884372,0.09392011658651125,0.07137382108638178
0,0.1,22,3.2397647,3.57789857639389,0.09190651500924808,0.060068250426565155
0,0.1,23,3.2186584,3.561596136708319,0.1238035276029842,0.10694804342527141
0,0.1,24,3.2124891,3.5564875142942727,0.13005833158644053,0.11593759960999755
0,0.1,25,3.2303607,3.5705638438095075,0.10833270000748428,0.08609210057562859
0,0.1,26,3.229144,3.568329441924262,0.10801786273928071,0.07586297414358839
0,0.1,27,3.2239008,3.5660405551232435,0.11763483759825373,0.09475034218963867
0,0.1,28,3.2253873,3.5696262225922974,0.11704157364369955,0.09448840305251907
0,0.1,29,3.235382,3.575007517346568,0.09903944556117016,0.06833648960306002
0,0.1,30,3.222519,3.5645111831744316,0.11844576980938429,0.08717885736785853
0,0.1,31,3.2147129,3.5609810251117677,0.12751373259557527,0.11278401740010875
0,0.1,32,3.2397394,3.579511881749308,0.09066304072332267,0.05770254814092588
0,0.1,33,3.2305038,3.572348116615202,0.10867104834493814,0.0862756642229014
0,0.1,34,3.2103057,3.557671470343145,0.1320512477461583,0.11549884686779291
0,0.1,35,3.2331183,3.573165454859018,0.1022552235582655,0.0734802092513078
0,0.1,36,3.2308843,3.5708424114407165,0.10594885841442614,0.07655166594791216
0,0.1,37,3.2290978,3.568437680876577,0.10774211713766871,0.07747248420302627
0,0.1,38,3.2088385,3.5616096588651573,0.13300909857822377,0.10216357602235011
