fold,parameter,test_MAE,test_RMSE,test_Pearson,test_Spearman
0,0.1,3.2227051,3.56603961911018,0.11974561660052069,0.087590797442484
0,1,3.221068,3.5666755165156676,0.12040180982537364,0.08292839330245812
0,10,3.220936,3.564074252124695,0.12628250684231246,0.09074475465471658
1,0.1,3.2362084,3.576803971351393,0.09790486618740245,0.07340277126732041
1,1,3.237575,3.5799555864189743,0.0905812968233439,0.06956893480584253
1,10,3.2445698,3.5830567866815164,0.11602204641263658,0.0768175426096413
2,0.1,3.2529414,3.6091130149187025,0.09905248632958981,0.07689929312058201
2,1,3.2394123,3.588799292512536,0.09855260922438569,0.07692854330339564
2,10,3.222667,3.5438371328039797,0.37957240892159116,0.2747780923630772
3,0.1,3.2745104,3.639828574367377,0.08588888379956874,0.06566928543303395
3,1,3.2213886,3.56700478552435,0.10567696019391389,0.0804518778242364
3,10,3.2320392,3.5657602750909243,0.10240682441116598,0.040786004912530704
4,0.1,3.2338505,3.580978122264054,0.10092954352620645,0.08474452965331032
4,1,3.216491,3.565614510068583,0.11764615623360926,0.10431177694860592
4,10,3.2258837,3.574504503177651,0.11049979398079965,0.09297995612472577
